Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Finland,0.21,0.19,0.21,0.21,0.21,0.22,0.22,0.20,0.23,0.28,0.25,0.29,0.28,0.23,0.22,0.21,0.25,0.28,0.34,0.31,0.20,0.31,0.29,0.22,0.22,0.28,0.23,0.19,0.21,0.19,0.16,0.18,0.17,0.18,0.15,0.11,0.12,0.12
France,1.02,0.84,0.77,0.75,0.82,0.80,0.85,0.75,0.61,0.60,0.61,0.65,0.57,0.68,0.61,0.59,0.52,0.53,0.57,0.54,0.56,0.52,0.54,0.51,0.45,0.48,0.41,0.46,0.48,0.36,0.36,0.35,0.38,0.34,0.27,0.19,0.23,0.21
Germany,6.25,5.91,5.88,5.81,5.90,5.51,4.84,4.37,4.12,4.00,3.79,3.78,3.66,3.57,3.44,3.57,3.58,3.59,3.65,3.56,3.40,3.54,3.63,3.35,3.00,3.23,3.28,3.37,3.47,3.33,3.29,3.20,3.01,2.90,2.25,1.85,2.24,2.33
Greece,0.25,0.24,0.28,0.31,0.33,0.34,0.32,0.34,0.34,0.34,0.34,0.33,0.35,0.37,0.36,0.38,0.39,0.38,0.38,0.39,0.38,0.35,0.37,0.35,0.35,0.33,0.33,0.34,0.29,0.28,0.24,0.18,0.20,0.20,0.13,0.08,0.07,0.07
Hungary,0.32,0.31,0.31,0.30,0.27,0.26,0.24,0.22,0.20,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.11,0.11,0.11,0.11,0.10,0.09,0.10,0.09,0.09,0.09,0.08,0.07,0.06,0.05
Iceland,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-,-,-
Ireland,0.10,0.11,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.10,0.11,0.11,0.11,0.11,0.10,0.11,0.10,0.10,0.10,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.06,0.04,0.04,0.05,0.04
Italy,0.63,0.62,0.62,0.58,0.60,0.61,0.58,0.51,0.45,0.47,0.51,0.47,0.47,0.49,0.49,0.52,0.56,0.57,0.62,0.69,0.69,0.70,0.68,0.66,0.52,0.57,0.64,0.66,0.57,0.55,0.52,0.46,0.40,0.37,0.28,0.21,0.23,0.31
Latvia,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Lithuania,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Luxembourg,0.06,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.02,0.02,0.01,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
