Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,
Other CIS,10.2,11.0,11.0,10.3,11.0,11.2,10.5,7.5,8.1,8.3,4.2,4.0,3.3,3.3,2.6,2.7,2.7,2.7,2.3,2.9,2.2,2.8,2.7,2.7,2.9,2.3,2.5,3.1,4.8,4.7,5.5,4.0,4.2,4.8,4.9,5.9,6.4,6.2,,,
Iran,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.8,0.8,0.8,,,
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Other Middle East,8.4,8.9,9.1,9.0,9.7,10.5,11.3,14.0,16.0,17.0,18.7,22.4,24.8,26.4,26.2,29.2,32.9,35.1,36.1,36.9,36.1,35.7,37.2,35.4,34.4,34.3,35.2,38.8,32.2,30.2,29.2,24.2,22.1,20.6,21.9,19.0,17.2,17.8,,,
Egypt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
South Africa,135.4,136.0,142.8,143.0,148.5,155.9,155.4,156.7,166.0,169.4,173.6,184.7,192.9,187.5,186.7,193.2,195.3,204.0,217.3,226.2,228.9,237.5,244.6,240.5,232.0,240.5,241.5,236.7,230.7,226.8,224.4,226.3,224.2,226.4,220.2,209.3,206.1,197.2,,,
Other Africa,4.1,6.1,9.5,9.4,8.7,8.7,9.4,8.7,10.0,10.4,13.3,12.6,13.2,14.2,13.1,15.0,19.1,18.9,17.7,19.0,19.9,18.4,17.9,17.0,15.7,16.8,18.5,18.8,20.7,25.2,26.5,26.4,28.3,33.2,37.5,36.2,36.9,39.2,,,
Australia,89.4,92.6,100.3,106.0,113.6,123.4,127.2,130.0,133.3,136.9,141.9,148.4,157.5,165.9,171.2,180.3,179.9,171.9,173.6,179.0,183.0,185.8,185.5,184.2,182.0,176.0,172.0,165.4,155.4,155.2,162.2,162.4,159.2,156.6,149.8,142.9,137.4,130.9,,,
China,260.6,299.6,339.9,373.7,405.1,441.3,498.4,567.3,589.2,693.4,741.9,824.2,867.0,891.7,969.7,1060.3,1129.1,1282.6,1520.0,1722.4,1980.1,2302.4,2656.7,2708.9,2911.5,3233.6,3690.9,3748.2,4077.4,4203.1,4046.2,4156.4,4430.0,4763.9,4855.2,4922.0,5328.8,5397.8,,,
India,116.0,129.9,152.8,164.7,185.0,191.6,214.1,229.4,252.8,264.6,296.3,312.2,325.8,336.5,365.4,390.2,408.3,426.7,441.5,463.0,478.5,505.5,533.3,573.1,611.1,643.0,701.3,787.1,848.0,949.9,1006.6,1073.6,1115.2,1198.9,1198.8,1143.8,1274.1,1380.1,,,
Indonesia,5.2,5.3,6.2,7.6,8.5,9.8,11.0,11.4,10.7,12.8,14.4,16.7,20.5,22.4,26.3,34.0,37.7,42.9,46.5,48.2,51.8,58.7,63.9,61.5,65.9,68.5,81.1,102.2,111.3,119.5,124.7,135.4,148.0,160.0,174.5,180.9,190.0,205.3,,,
Japan,99.3,98.8,107.3,112.2,116.9,119.3,125.6,132.0,140.2,156.8,168.6,178.4,188.1,192.2,211.6,233.9,249.2,260.1,288.0,291.1,315.1,307.5,313.0,331.0,309.6,312.7,281.6,330.8,359.2,353.1,346.7,322.9,320.1,314.5,307.2,298.0,301.9,309.0,,,
Malaysia,-,-,-,0.3,2.2,2.9,3.5,3.8,3.9,4.1,4.0,4.2,2.5,3.7,4.5,4.0,6.2,9.6,13.4,22.6,25.2,26.6,30.9,31.0,37.6,49.4,52.3,55.6,53.7,55.8,63.5,69.2,68.9,77.3,76.4,84.2,78.0,76.4,,,
South Korea,24.8,25.0,23.6,29.6,30.6,33.5,36.8,42.4,53.5,65.1,72.0,81.7,93.9,102.9,111.1,113.8,126.2,136.1,137.8,142.4,149.4,152.9,170.0,189.9,208.4,217.6,223.2,222.5,223.3,224.7,232.2,232.6,258.1,255.9,243.9,208.9,211.7,208.7,,,
Taiwan,14.7,20.5,22.7,23.8,26.5,25.4,29.7,37.7,44.9,48.5,50.5,60.1,65.8,70.4,73.8,87.0,95.1,102.9,112.4,115.4,120.1,124.1,128.5,122.2,120.7,122.4,124.5,122.5,121.5,123.5,117.2,121.2,128.0,131.3,126.4,125.9,128.9,121.2,,,
Thailand,5.3,5.5,6.7,6.8,7.9,11.1,13.8,14.8,13.5,14.1,15.2,17.6,19.0,16.6,16.6,18.2,20.3,19.3,19.3,20.4,20.6,24.5,30.9,30.8,29.8,29.8,31.7,34.6,35.4,37.6,34.6,37.1,35.7,35.8,35.8,36.8,36.1,35.5,,,
Vietnam,2.3,2.7,3.1,3.4,2.7,2.0,1.4,0.9,0.6,1.1,2.0,2.4,3.3,3.5,2.9,3.1,3.2,4.9,7.2,7.2,11.0,12.2,12.4,12.3,12.4,15.9,19.9,21.3,24.0,34.9,52.7,64.0,62.6,83.8,111.2,114.8,114.2,100.8,,,
Other Asia Pacific,33.8,35.5,40.2,43.5,46.3,45.5,47.5,49.8,48.2,40.3,41.8,39.9,36.9,40.2,40.7,48.8,52.8,50.9,56.9,57.3,59.8,61.3,63.3,62.6,63.2,65.4,70.3,74.9,80.5,85.8,88.3,102.8,116.3,135.3,151.2,151.1,155.5,154.4,,,
