Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,
Ukraine,170.9,175.1,173.1,172.2,161.8,159.2,135.2,126.4,108.7,88.6,77.9,58.0,59.3,60.2,63.5,62.9,62.1,62.2,60.7,60.3,61.4,62.4,59.1,59.8,55.4,55.4,63.2,66.2,64.9,45.7,30.4,32.2,24.7,26.8,26.1,24.4,24.9,16.5,,,,,,,,,,,,,,,,,,,
United Kingdom,94.1,108.1,104.5,104.1,99.8,92.8,94.2,84.5,68.2,49.8,53.0,50.2,48.5,41.2,37.1,31.2,31.9,30.0,28.3,25.1,20.5,18.5,17.0,18.1,17.9,18.3,18.6,17.0,12.8,11.6,8.6,4.2,3.0,2.8,2.6,1.7,1.1,0.7,,,,,,,,,,,,,,,,,,,
Other Europe,146.3,150.7,145.2,139.4,146.1,141.3,125.5,120.2,106.3,95.9,99.3,96.3,103.3,95.0,89.3,90.6,91.8,95.0,101.4,93.1,97.8,103.7,60.3,64.1,66.0,70.5,71.8,65.6,70.7,67.2,64.5,61.7,65.1,92.2,56.8,50.2,47.6,49.5,,,,,,,,,,,,,,,,,,,
Kazakhstan,130.8,137.5,142.1,143.1,138.4,131.4,130.4,126.5,111.9,104.6,83.3,76.8,72.6,69.8,58.4,74.9,79.1,73.7,84.9,86.9,86.6,96.2,97.8,111.1,100.9,110.9,116.4,120.5,119.6,114.0,107.3,103.1,112.3,118.5,115.0,113.4,116.2,118.0,,,,,,,,,,,,,,,,,,,
Russian Federation,409.3,423.9,424.1,440.0,422.8,405.2,362.2,349.0,311.9,278.3,269.6,262.4,250.4,235.5,255.2,262.2,274.3,258.9,279.0,284.7,300.1,311.4,315.7,330.2,302.5,322.9,337.4,358.3,355.2,357.4,372.5,386.6,411.0,441.3,440.7,399.8,434.1,439.0,,,,,,,,,,,,,,,,,,,
USSR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Uzbekistan,5.3,6.0,5.0,5.5,6.2,6.5,5.9,4.7,3.8,3.8,3.1,2.8,2.9,3.0,3.0,2.5,2.7,2.7,1.9,2.7,3.0,3.1,3.3,3.6,3.7,3.6,3.8,3.8,4.1,4.4,3.5,3.9,4.0,4.2,4.0,4.1,5.1,5.4,,,,,,,,,,,,,,,,,,,
Other CIS,8.9,9.5,8.7,9.3,9.0,7.6,7.7,6.5,4.8,4.4,3.6,3.3,3.3,2.5,3.5,2.4,2.5,2.7,2.3,2.6,2.7,2.6,3.1,3.1,3.0,3.1,3.8,4.3,4.2,4.1,4.0,4.6,5.7,7.7,7.9,6.2,6.6,8.4,,,,,,,,,,,,,,,,,,,
South Africa,173.5,176.7,176.6,181.4,176.3,174.8,178.4,184.0,188.2,195.8,206.2,206.4,220.1,223.0,223.5,224.2,223.6,220.2,238.8,242.8,245.0,244.8,247.7,252.2,247.8,254.5,252.8,258.6,256.3,261.4,252.2,249.7,252.3,250.0,254.4,246.2,229.8,225.9,,,,,,,,,,,,,,,,,,,
Zimbabwe,3.1,4.1,4.8,5.1,5.1,5.5,5.6,5.6,5.3,5.5,5.5,5.2,5.3,5.5,5.0,4.4,4.5,3.9,2.8,3.8,3.4,2.1,2.1,1.5,1.7,2.7,2.6,1.6,3.1,5.8,4.3,2.7,2.9,3.3,2.6,2.7,3.2,3.9,,,,,,,,,,,,,,,,,,,
Other Africa,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.2,2.3,2.4,2.1,1.9,2.3,2.1,1.9,1.9,2.0,1.8,2.0,1.8,1.8,1.5,1.5,1.4,1.9,2.2,7.1,8.3,9.4,9.7,9.2,15.9,20.0,14.6,12.3,15.7,21.2,,,,,,,,,,,,,,,,,,,
Australia,168.6,180.3,190.1,189.5,204.5,213.1,221.1,231.8,230.8,236.4,248.1,257.0,281.0,290.7,305.8,313.9,335.5,343.2,351.1,363.2,378.8,385.8,396.5,408.0,422.5,434.4,423.2,448.2,472.8,505.3,503.7,502.1,487.2,502.2,505.6,470.0,460.3,443.4,,,,,,,,,,,,,,,,,,,
China,872.3,894.0,928.1,979.9,1054.2,1079.9,1087.4,1116.4,1150.7,1239.9,1360.7,1396.7,1387.5,1332.0,1364.0,1384.2,1471.5,1550.4,1834.9,2122.6,2365.1,2569.7,2759.9,2903.4,3115.4,3428.4,3764.4,3945.1,3974.3,3873.9,3746.5,3410.6,3523.6,3697.7,3846.3,3901.6,4125.8,4560.0,,,,,,,,,,,,,,,,,,,
India,157.5,169.2,185.4,197.0,215.3,223.3,239.9,253.8,263.2,270.9,289.0,311.0,319.4,320.9,314.4,334.8,341.9,358.1,375.4,408.0,429.0,449.7,479.3,515.8,556.1,572.7,563.7,605.6,608.5,646.2,674.2,689.8,711.7,760.4,753.9,760.2,812.3,910.9,,,,,,,,,,,,,,,,,,,
Indonesia,2.0,2.6,3.0,4.5,8.7,10.7,13.8,22.4,27.6,32.9,41.8,50.4,54.8,62.2,73.7,77.0,92.5,103.3,114.3,132.4,152.7,193.8,216.9,240.2,256.2,275.2,353.3,386.1,474.4,458.1,461.6,456.2,461.2,557.8,616.2,563.7,614.0,687.4,,,,,,,,,,,,,,,,,,,
Japan,16.4,16.0,13.1,11.2,10.2,8.3,8.1,7.6,7.2,6.9,6.3,6.5,4.3,3.7,3.9,3.1,3.2,1.4,1.3,1.3,1.1,1.4,1.4,1.2,1.3,0.9,1.3,1.3,1.2,1.3,1.2,1.3,1.4,1.0,0.8,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,
Mongolia,6.5,7.1,7.8,8.6,8.0,7.2,7.0,6.2,5.6,5.2,5.0,5.1,4.9,5.1,5.0,5.2,5.1,5.5,5.7,6.9,7.5,8.1,9.2,10.1,14.4,25.2,33.0,31.1,33.3,24.4,24.1,35.1,49.5,54.6,57.1,43.1,32.3,39.3,,,,,,,,,,,,,,,,,,,
New Zealand,2.4,2.5,2.2,2.4,2.7,2.6,2.7,3.0,3.3,3.0,3.6,3.6,3.6,3.1,3.5,3.5,3.9,4.5,5.2,5.2,5.3,5.7,4.8,4.8,4.5,5.3,5.0,4.9,4.6,4.0,3.4,2.9,2.9,3.2,3.0,2.8,2.9,2.6,,,,,,,,,,,,,,,,,,,
Pakistan,2.2,2.1,2.4,2.7,2.7,2.8,2.8,3.0,3.2,3.0,3.2,3.5,3.1,3.3,3.3,3.2,3.3,3.5,3.3,3.4,3.5,4.0,3.7,4.0,3.5,3.4,3.2,3.0,3.0,3.4,3.3,4.1,4.2,4.4,7.1,9.5,10.2,9.9,,,,,,,,,,,,,,,,,,,
South Korea,22.5,24.3,24.3,24.3,20.8,17.2,15.1,12.0,9.4,7.4,5.7,5.0,4.5,4.4,4.2,4.2,3.8,3.3,3.3,3.2,2.8,2.8,2.9,2.8,2.5,2.1,2.1,2.1,1.8,1.7,1.8,1.7,1.5,1.2,1.1,1.0,0.9,0.8,,,,,,,,,,,,,,,,,,,
Thailand,5.1,5.5,6.9,7.3,9.0,12.4,14.6,15.4,15.6,17.1,18.4,21.7,23.4,20.0,18.3,17.8,19.6,19.6,18.8,20.1,20.9,19.1,18.2,18.1,17.6,18.3,21.3,18.1,18.1,18.0,15.2,17.0,16.3,14.9,14.1,13.3,14.2,13.6,,,,,,,,,,,,,,,,,,,
Vietnam,5.6,6.1,6.3,6.1,5.1,5.1,5.2,5.2,6.5,6.0,8.4,9.8,11.4,11.7,9.6,11.6,13.4,16.4,19.3,27.3,34.1,38.8,42.5,39.8,44.1,44.8,46.6,42.1,41.1,41.1,41.7,38.7,38.4,42.4,46.4,44.6,48.3,49.8,,,,,,,,,,,,,,,,,,,
Other Asia Pacific,55.3,54.8,53.6,52.5,51.9,48.3,46.8,41.2,38.3,35.6,33.2,29.4,28.9,26.5,29.8,32.2,32.8,31.9,32.9,35.2,39.2,39.6,36.8,39.1,34.4,37.0,38.7,39.6,39.8,40.4,44.9,61.4,54.2,52.6,39.5,54.1,54.8,57.2,,,,,,,,,,,,,,,,,,,
